MD,Inc,Azim,TVD,NS,EW
10953.0,12.784524403338,89.541334734094,9664.64098844297,-275.04,4816.96
11012.0,12.626806971355,89.204734438731,9722.19623346165,-274.9,4829.94
11014.55,12.62,89.19,9724.68459377969,-274.89,4830.49
11095.0,11.887360042553,88.852850859948,9803.3012143809,-274.6,4847.56
11108.99,11.76,88.79,9816.99438282498,-274.54,4850.43
11194.0,10.569736772334,87.583640252485,9900.39410487063,-274.03,4866.88
11201.14,10.47,87.47,9907.41409247673,-273.98,4868.18
11202.0,10.46861444425,87.47508384348,9908.25977553061,-273.97,4868.34
11240.0,10.407473156708,87.701053881227,9945.63092821194,-273.68,4875.22
11294.54,10.32,88.03,9999.28113642848,-273.31,4885.02
11386.0,10.17,88.59,10089.28291549,-272.83,4901.28
